id;region_id;name;description;contact_number;address;website_link
1;1;SD Jakarta Utara 1;Nunc sodales diam sit amet leo congue, vitae dapibus turpis mollis. Etiam ornare, risus ac pharetra imperdiet, augue sapien ultrices purus, vitae consectetur eros tellus sit amet metus. Maecenas vel mauris eros. Nam ut sapien a sem pretium tempus mollis et sapien. Sed in ultrices neque, non auctor mi. Sed ullamcorper hendrerit ultrices. Nulla in mauris et odio commodo blandit. Mauris felis odio, cursus eget augue vitae, commodo dictum nisi. Quisque euismod, est ac varius bibendum, massa metus tempus nulla, a laoreet tellus dolor eget tortor.;+6281234567891;Jl. SD Jakarta Utara 1;https://www.google.com/
2;1;SD Jakarta Utara 2;Quisque non purus fermentum, elementum sapien nec, facilisis enim. Phasellus cursus commodo scelerisque. Mauris molestie nibh id lorem sodales consequat. Morbi viverra a lacus et porta. Praesent a nibh felis. Donec magna velit, tempor vel nulla non, mattis gravida dui. Donec id quam eu eros suscipit imperdiet vitae sed arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae Vivamus sapien turpis, gravida et augue id, tempor cursus metus. Phasellus arcu arcu, fringilla vel luctus vitae, interdum accumsan enim. Morbi convallis diam vel nisi vehicula pellentesque. Donec viverra risus sapien, sit amet vestibulum massa viverra sit amet. Quisque elementum ut dui et luctus. Sed egestas nisl nec feugiat mollis.;+6281234567892;Jl. SD Jakarta Utara 2;https://www.google.com/
3;1;SD Jakarta Utara 3;Vivamus ut fringilla lacus, vitae condimentum arcu. Proin at velit condimentum ipsum viverra mollis. Donec tempus odio lectus, vulputate interdum orci mattis non. Praesent sagittis nisl lectus. Nam rutrum tempus metus, eu egestas lorem tristique sed. Nam a augue fermentum, bibendum justo a, suscipit turpis. Donec sed posuere odio, et bibendum urna. Curabitur venenatis metus vitae massa mattis pretium. Nulla eu augue placerat, lacinia ligula efficitur, sodales tellus. Vivamus sagittis odio dui, eu sagittis nunc vehicula sit amet. Vivamus cursus ex in bibendum aliquet. Praesent ex ante, feugiat ut ligula quis, iaculis rhoncus turpis. Duis vitae lorem a diam facilisis sagittis at id dolor. Nam mi velit, sollicitudin ac fringilla ut, facilisis eu mi.;+6281234567893;Jl. SD Jakarta Utara 3;https://www.google.com/
4;2;SD Jakarta Timur 4;Quisque gravida rutrum lectus, eu volutpat urna. Nulla consequat mauris metus, facilisis tristique nisi interdum eu. Proin pellentesque quam sed nunc imperdiet, a ullamcorper lectus accumsan. Nulla quis bibendum velit. Donec a sapien a neque luctus elementum efficitur vitae dolor. Phasellus consequat nec arcu id pretium. Praesent at venenatis dui, nec mollis libero. Donec quis enim a metus dapibus congue. Maecenas vel blandit erat, aliquet finibus nisl.;+6281234567894;Jl. SD Jakarta Timur 4;https://www.google.com/
5;2;SD Jakarta Timur 5;Donec vitae molestie dui. Vivamus finibus dignissim nunc nec elementum. Maecenas egestas blandit hendrerit. Phasellus eleifend efficitur nisl. Fusce dignissim lacus vehicula orci bibendum, a consectetur lectus laoreet. Vivamus ac libero neque. Sed at nisi porta, gravida nisi eget, venenatis velit.;+6281234567895;Jl. SD Jakarta Timur 5;https://www.google.com/
6;2;SD Jakarta Timur 6;Cras eget diam nunc. Phasellus vitae eros ac ante accumsan ultrices. Mauris et posuere nisi. Pellentesque accumsan urna vel lacinia ullamcorper. Sed placerat elit ac ante consequat suscipit. Sed non diam dolor. In arcu nibh, finibus sit amet aliquet eget, varius quis arcu. Aenean euismod sem ut felis congue sollicitudin. Nullam nibh libero, vestibulum scelerisque nulla ac, tincidunt placerat erat. In vehicula urna nec lorem ultricies suscipit. Maecenas luctus magna at ex accumsan, ac eleifend tortor porta. Quisque nec faucibus purus, sit amet cursus dolor.;+6281234567896;Jl. SD Jakarta Timur 6;https://www.google.com/
7;3;SD Jakarta Selatan 7;Aliquam sit amet lorem mauris. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce semper finibus leo, nec tincidunt nibh facilisis sed. Nullam eu augue tincidunt, molestie nibh eget, semper sapien. Aliquam maximus enim lacus, a accumsan eros pulvinar ac. Phasellus facilisis ultricies sem in tincidunt. Aliquam vestibulum felis ut enim efficitur, et fringilla sapien imperdiet. Sed dolor augue, blandit vel elementum ut, mattis vitae ex. Nulla pretium fermentum ex quis fermentum. Fusce faucibus facilisis interdum. Vivamus at magna sit amet enim convallis pretium.;+6281234567897;Jl. SD Jakarta Selatan 7;https://www.google.com/
8;3;SD Jakarta Selatan 8;Vivamus fringilla sagittis bibendum. Morbi et lorem quis ligula egestas suscipit eu vitae neque. Aliquam vitae est ac eros vestibulum bibendum. Nam lobortis mauris arcu, eu mattis tellus volutpat volutpat. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Pellentesque sed eros mattis, imperdiet odio sed, egestas massa. Quisque vel velit in dui rhoncus elementum quis id nunc. Etiam a sapien erat. Maecenas accumsan ex vestibulum ex lacinia, non luctus ante fringilla. In bibendum porttitor tortor, quis laoreet lorem gravida vitae. Nam ullamcorper in libero id efficitur. Sed ut elit quis libero fermentum imperdiet commodo non erat.;+6281234567898;Jl. SD Jakarta Selatan 8;https://www.google.com/
9;3;SD Jakarta Selatan 9;Sed ac tellus id diam blandit elementum congue et dui. Praesent libero sem, venenatis non lectus eget, consequat varius neque. Aliquam cursus libero a hendrerit gravida. Cras nec nulla vel ipsum lobortis luctus quis nec dui. Aenean eu nibh et odio tempus scelerisque. Donec fermentum lacinia est, eu placerat velit. Aliquam et lacus sed magna interdum lobortis vel nec justo. Cras id ultricies nunc. Pellentesque mollis, massa in rutrum tincidunt, neque sapien hendrerit lacus, vel ornare tellus leo id arcu. Quisque sed aliquet massa. Nullam ultricies urna non erat venenatis, sit amet pharetra metus sagittis.;+6281234567899;Jl. SD Jakarta Selatan 9;https://www.google.com/
10;4;SD Jakarta Barat 10;Maecenas neque est, consequat non ante et, pretium egestas sapien. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vestibulum massa augue, lobortis vel quam sed, elementum aliquam metus. Suspendisse consectetur lorem id dolor efficitur, et imperdiet lacus porta. Pellentesque porttitor hendrerit nisi eu aliquam. Donec lobortis neque id nibh semper sodales in sit amet magna. Nulla suscipit rhoncus auctor. Vestibulum semper enim ante, sed ultrices lorem tincidunt ut. Sed commodo neque quis convallis fermentum. Mauris aliquet vestibulum felis et vehicula. In hac habitasse platea dictumst. Phasellus commodo congue porttitor. Phasellus in massa in felis rutrum luctus non eget purus. Pellentesque sed nibh at risus aliquet rutrum. Vestibulum scelerisque scelerisque dignissim. Praesent ornare leo nec erat molestie ultricies.;+62812345678910;Jl. SD Jakarta Barat 10;https://www.google.com/
